threshold,precision,recall
0.0,0.95,1.0
0.2631578947368421,0.9526315789473684,0.9947368421052631
0.5263157894736842,0.9552631578947368,0.9894736842105263
0.7894736842105263,0.9578947368421052,0.9842105263157894
1.0526315789473684,0.9605263157894737,0.9789473684210527
1.3157894736842104,0.9631578947368421,0.9736842105263158
1.5789473684210527,0.9657894736842105,0.968421052631579
1.8421052631578947,0.9684210526315788,0.9631578947368421
2.1052631578947367,0.9710526315789473,0.9578947368421052
2.3684210526315788,0.9736842105263157,0.9526315789473684
2.631578947368421,0.9763157894736841,0.9473684210526316
2.894736842105263,0.9789473684210526,0.9421052631578948
3.1578947368421053,0.981578947368421,0.9368421052631579
3.4210526315789473,0.9842105263157894,0.9315789473684211
3.6842105263157894,0.9868421052631579,0.9263157894736842
3.9473684210526314,0.9894736842105263,0.9210526315789473
4.2105263157894735,0.9921052631578947,0.9157894736842105
4.473684210526316,0.9947368421052631,0.9105263157894736
4.7368421052631575,0.9973684210526316,0.9052631578947369
5.0,1.0,0.9
